aX,aY,aZ,gX,gY,gZ
-0.056,-1.029,0.168,4.700,20.447,-15.198
-0.029,-1.017,0.171,3.235,21.545,-16.785
0.017,-1.013,0.185,-0.427,19.836,-15.015
0.013,-0.998,0.181,-3.052,13.977,-9.521
-0.017,-0.989,0.158,1.648,6.775,-4.089
-0.040,-1.003,0.151,6.104,1.404,0.549
-0.016,-1.031,0.166,9.216,-0.244,3.174
-0.006,-1.021,0.176,10.803,-0.183,1.770
-0.028,-1.013,0.168,11.353,0.366,0.671
-0.075,-1.002,0.153,12.085,0.061,-0.916
-0.113,-0.993,0.128,12.817,1.221,-2.380
-0.118,-1.003,0.106,10.742,3.601,-2.747
-0.079,-1.031,0.115,8.911,5.859,-2.441
-0.043,-1.041,0.146,9.949,7.324,-2.258
-0.035,-1.029,0.159,9.338,6.775,-2.930
-0.026,-1.002,0.159,8.667,4.578,-2.930
-0.040,-0.990,0.154,8.850,2.075,-2.197
-0.079,-0.999,0.146,12.329,1.587,-1.770
-0.084,-1.008,0.133,12.756,2.075,-1.831

0.780,-1.085,0.471,145.447,-490.540,133.484
0.734,-0.993,0.358,136.841,-573.181,146.484
0.762,-0.963,0.187,141.907,-644.104,159.058
0.892,-0.955,-0.064,148.743,-702.820,171.448
1.176,-1.098,-0.446,152.039,-750.244,179.504
1.383,-1.124,-0.856,138.855,-780.518,176.758
1.359,-1.026,-1.041,116.272,-797.852,158.142
1.222,-0.920,-1.104,102.051,-790.894,131.409
1.078,-0.851,-1.110,89.905,-762.512,101.257
0.847,-0.891,-1.033,94.604,-705.200,68.848
0.525,-1.009,-0.920,93.933,-620.667,32.837
0.233,-1.039,-0.800,73.547,-514.038,0.183
-0.095,-1.011,-0.653,53.772,-396.606,-24.353
-0.397,-0.961,-0.525,41.382,-291.626,-40.405
-0.545,-1.009,-0.477,35.889,-209.412,-36.255
-0.466,-1.070,-0.471,29.907,-152.161,-20.691
-0.238,-1.056,-0.482,21.606,-112.793,-5.981
-0.036,-1.076,-0.460,10.193,-80.444,4.700
0.065,-1.125,-0.422,-3.296,-46.387,6.470
0.074,-1.111,-0.411,-15.442,-8.972,0.916
0.031,-1.012,-0.366,-27.710,27.405,-4.761
-0.012,-0.917,-0.279,-32.104,61.218,-5.554
-0.048,-0.877,-0.231,-25.940,89.844,-2.197
-0.054,-0.903,-0.245,-11.658,121.887,3.662
-0.026,-0.895,-0.251,1.770,168.274,6.653
-0.047,-0.889,-0.228,17.578,229.614,11.047
-0.110,-0.877,-0.221,33.752,301.636,18.250
-0.177,-0.809,-0.320,46.997,377.869,26.184
-0.177,-0.663,-0.427,65.369,454.895,35.461
0.119,-0.793,-0.386,88.501,525.574,28.870
0.537,-1.029,-0.522,112.793,594.360,-3.235
0.694,-1.130,-0.762,120.483,648.560,-40.894
0.701,-1.281,-0.895,91.431,662.903,-65.308
0.630,-1.135,-0.967,43.579,640.686,-78.979
0.551,-1.055,-0.910,-4.822,604.370,-76.599
0.444,-0.938,-0.794,-33.325,566.101,-65.857
0.408,-0.909,-0.659,-44.312,530.090,-55.786
0.413,-0.923,-0.468,-44.495,489.014,-46.936
0.402,-0.940,-0.287,-37.231,440.979,-44.922
0.420,-1.124,-0.193,-31.738,384.827,-36.621
0.434,-1.235,-0.189,-41.382,315.125,-21.729
0.337,-1.190,-0.159,-59.021,244.751,-9.094
0.147,-1.045,-0.107,-76.172,191.711,0.305
0.012,-0.954,-0.061,-83.313,160.828,8.911
-0.012,-0.937,-0.023,-75.317,147.400,16.846
0.026,-0.980,-0.016,-63.904,142.334,20.691
0.079,-1.019,0.001,-57.129,140.564,20.569
0.136,-0.995,0.068,-57.373,136.292,18.677
0.185,-0.992,0.121,-56.702,128.967,17.090
0.189,-0.970,0.106,-50.110,120.850,15.137
0.167,-1.003,0.069,-38.025,112.244,13.611
0.164,-1.057,0.023,-24.475,100.769,14.465
0.211,-0.989,-0.066,-23.865,84.778,11.108
0.163,-0.990,-0.098,-23.804,70.679,10.559
0.125,-1.029,-0.113,-24.963,66.528,10.254
0.136,-1.018,-0.138,-25.574,60.913,7.690
0.155,-1.015,-0.121,-21.545,52.551,6.897
0.149,-1.013,-0.098,-20.020,43.762,6.897
0.136,-1.025,-0.062,-18.677,36.560,7.263
0.122,-1.006,-0.024,-18.127,31.860,6.165
0.112,-1.005,0.005,-14.282,33.081,0.916
0.125,-1.009,0.023,-9.705,34.668,-4.883
0.133,-0.972,0.032,-4.822,32.349,-7.019
0.100,-0.975,0.017,0.610,23.621,-5.188
0.058,-1.000,-0.033,4.700,11.292,-1.770
0.018,-0.985,-0.062,6.409,1.770,-0.061
0.000,-0.989,-0.110,5.859,-2.136,4.211
-0.001,-1.015,-0.127,6.348,1.038,5.432
0.003,-1.034,-0.126,4.883,4.700,5.493
0.010,-1.027,-0.119,1.282,7.202,5.554
0.017,-1.031,-0.102,-0.854,7.751,5.798
0.025,-1.021,-0.077,-1.526,6.165,5.737
0.034,-1.030,-0.055,-0.671,3.601,6.226
0.032,-1.017,-0.056,-0.427,0.488,6.287
0.043,-1.031,-0.058,0.549,-0.916,7.874
0.065,-1.036,-0.073,1.343,-2.686,7.629
0.066,-1.035,-0.082,2.136,-2.686,6.226
0.043,-1.020,-0.092,1.770,-0.671,2.869
0.019,-1.019,-0.099,2.380,4.150,-1.221
0.015,-1.026,-0.085,2.747,9.766,-4.272
0.011,-1.015,-0.084,0.793,12.390,-5.493
-0.008,-1.006,-0.099,-0.244,13.184,-5.005
-0.003,-1.019,-0.096,-0.854,13.611,-5.127
0.018,-1.026,-0.070,-0.366,14.648,-4.700
0.032,-1.015,-0.036,-1.160,14.160,-5.005
0.028,-1.000,-0.019,-0.793,12.268,-4.944
0.009,-1.000,-0.038,1.892,9.583,-4.456
-0.024,-0.999,-0.094,3.906,8.118,-3.845
-0.041,-1.017,-0.134,4.700,9.338,-2.930
-0.033,-1.021,-0.127,0.916,10.742,-2.075
0.003,-1.021,-0.093,-2.747,12.634,-0.732
0.041,-1.017,-0.055,-4.822,13.245,-1.160
0.057,-1.024,-0.038,-4.028,14.648,-2.808
0.051,-1.021,-0.043,-3.662,15.137,-5.371
0.035,-1.012,-0.054,-3.235,15.442,-7.080
0.023,-1.009,-0.066,-1.953,15.686,-8.118
0.010,-1.013,-0.082,-0.732,14.038,-8.118
-0.007,-1.017,-0.094,0.366,11.597,-6.042
-0.014,-1.013,-0.094,-0.366,7.324,-3.113
-0.012,-1.013,-0.088,-0.549,3.418,0.488
-0.005,-1.022,-0.083,-1.038,0.488,2.625
-0.008,-1.021,-0.089,-1.709,-0.427,3.601
0.001,-1.022,-0.090,-2.441,0.610,3.540
0.009,-1.021,-0.082,-2.808,1.831,2.808
0.007,-1.023,-0.077,-2.686,3.357,2.441
0.007,-1.011,-0.071,-3.662,3.357,1.404
0.010,-1.007,-0.061,-3.296,3.113,2.197
0.015,-1.006,-0.052,-2.625,0.732,3.479
0.013,-1.008,-0.047,-1.709,-1.404,4.883
0.003,-1.013,-0.051,-0.671,-3.357,6.348
-0.019,-1.012,-0.075,-0.610,-4.761,7.324
-0.032,-1.014,-0.099,-1.038,-4.150,7.996
-0.025,-1.023,-0.109,-2.808,-2.808,8.423
-0.004,-1.032,-0.100,-4.272,-0.793,9.033
0.015,-1.027,-0.073,-6.470,0.549,7.874
0.017,-1.020,-0.058,-7.141,2.625,5.981
0.017,-1.020,-0.055,-7.385,4.944,3.479
0.009,-1.017,-0.068,-7.935,6.836,1.831
-0.003,-1.021,-0.073,-8.301,8.240,1.648

0.973,-0.937,0.836,113.525,-640.198,236.267
1.097,-0.902,0.592,136.902,-716.125,248.474
1.266,-0.953,0.213,160.034,-783.386,246.887
1.569,-1.120,-0.143,172.241,-840.942,242.798
1.873,-0.944,-0.538,163.452,-876.770,234.192
1.938,-0.789,-1.000,149.658,-886.780,208.679
1.509,-0.841,-1.248,147.827,-856.628,172.424
0.965,-0.886,-1.153,137.817,-776.733,130.188
0.439,-0.840,-0.743,114.380,-653.076,82.581
0.046,-0.818,-0.353,102.600,-495.300,37.048
-0.312,-0.780,-0.206,100.586,-332.886,5.127
-0.444,-0.730,-0.070,108.643,-193.970,-4.395
-0.374,-0.932,-0.166,127.808,-103.882,3.174
-0.090,-1.132,-0.275,137.329,-39.368,3.967
0.206,-1.046,-0.315,113.037,9.644,-0.854
0.381,-1.008,-0.313,73.059,24.780,5.127
0.492,-1.020,-0.338,48.340,12.573,10.132
0.511,-1.024,-0.352,32.898,-14.832,10.437
