aX,aY,aZ,gX,gY,gZ
-0.070,-0.964,-0.228,-9.094,2.625,-5.371
-0.074,-1.003,-0.216,-13.428,2.930,-7.935
-0.061,-1.033,-0.246,-17.761,6.226,-9.033
-0.027,-1.063,-0.289,-18.921,9.521,-8.240
-0.017,-1.071,-0.320,-17.273,9.766,-6.348
-0.003,-1.056,-0.340,-13.550,8.057,-3.418
0.013,-1.036,-0.345,-8.789,7.507,0.183
0.020,-1.017,-0.336,-4.456,5.981,2.075
0.012,-1.010,-0.332,-1.343,4.517,2.930
0.014,-1.023,-0.339,-1.404,3.723,2.991
0.012,-1.023,-0.332,-4.272,2.869,2.563
0.011,-1.013,-0.325,-6.714,1.648,2.686
0.013,-1.008,-0.335,-6.470,2.258,3.784
0.028,-1.016,-0.355,-5.005,3.296,5.249
0.029,-1.017,-0.365,-3.235,2.380,6.287
0.022,-0.999,-0.369,-1.953,0.305,7.324
0.022,-0.984,-0.365,0.061,-0.183,8.301
0.011,-0.984,-0.354,1.892,-1.221,7.751
-0.008,-1.003,-0.325,2.075,-3.235,6.042
-0.033,-1.030,-0.286,0.854,-4.395,3.967
-0.045,-1.053,-0.265,-1.709,-3.723,2.747
-0.051,-1.078,-0.256,-4.395,-2.075,1.648
-0.053,-1.106,-0.258,-5.554,-0.610,1.282
-0.045,-1.123,-0.266,-5.615,0.427,2.380
-0.041,-1.126,-0.285,-4.761,1.160,4.578
-0.036,-1.120,-0.295,-3.601,1.892,6.958
-0.026,-1.109,-0.289,-3.845,1.892,8.484
-0.035,-1.085,-0.281,-4.700,0.732,8.911
-0.032,-1.073,-0.280,-5.615,1.465,8.911
-0.027,-1.066,-0.281,-6.348,2.869,8.606
-0.021,-1.053,-0.279,-7.141,3.174,8.118
-0.012,-1.036,-0.293,-7.263,3.967,8.301
-0.001,-1.015,-0.318,-6.897,4.700,8.911
0.006,-0.999,-0.324,-6.714,3.845,8.911
0.003,-0.986,-0.314,-6.531,2.136,8.484
0.004,-0.985,-0.309,-7.202,1.648,7.874
0.002,-0.977,-0.309,-8.057,1.709,7.080
0.010,-0.980,-0.322,-9.155,1.831,6.226
0.015,-0.982,-0.342,-9.644,1.770,5.554
0.018,-0.980,-0.348,-9.094,0.549,5.493
0.016,-0.969,-0.341,-7.141,-1.709,6.104
0.009,-0.952,-0.322,-4.211,-3.479,6.958
0.004,-0.953,-0.294,-1.892,-4.883,6.836
-0.008,-0.960,-0.260,-1.526,-6.104,5.676
-0.017,-0.964,-0.238,-3.845,-6.042,3.845
-0.008,-0.983,-0.231,-6.958,-4.028,2.319
-0.007,-0.998,-0.234,-9.399,-1.953,0.854
-0.006,-1.000,-0.235,-10.864,-1.709,0.000
-0.005,-0.992,-0.232,-10.986,-1.404,0.000
