aX,aY,aZ,gX,gY,gZ
0.067,-0.951,-0.260,-8.789,3.235,-2.258
0.068,-0.938,-0.255,-8.972,2.563,-2.869
0.065,-0.929,-0.239,-8.484,1.526,-3.845
0.065,-0.920,-0.228,-7.507,1.160,-4.578
0.063,-0.915,-0.224,-6.409,1.526,-5.310
0.057,-0.916,-0.224,-5.615,1.587,-6.226
0.049,-0.926,-0.215,-5.432,1.526,-7.507
0.042,-0.941,-0.211,-6.836,1.892,-9.155
0.040,-0.947,-0.219,-8.850,2.808,-10.315
0.037,-0.954,-0.233,-9.827,4.089,-10.742
0.038,-0.966,-0.239,-9.460,4.150,-11.230
0.041,-0.980,-0.245,-8.789,3.784,-11.475
0.044,-0.989,-0.240,-8.118,2.563,-11.108
0.036,-0.991,-0.229,-7.263,1.221,-10.376
0.034,-0.986,-0.220,-6.409,0.122,-9.949
0.032,-0.977,-0.209,-5.737,-0.061,-9.644
0.029,-0.973,-0.202,-4.211,0.061,-9.766
0.027,-0.984,-0.199,-2.014,0.732,-10.315
0.027,-0.983,-0.199,-1.465,1.648,-10.681
0.024,-0.979,-0.206,-1.404,1.953,-11.108
0.018,-0.970,-0.214,-1.465,2.197,-11.597
0.014,-0.972,-0.214,-0.793,2.014,-12.573
0.008,-0.984,-0.211,-0.793,1.404,-14.099
0.002,-0.996,-0.200,-1.221,0.793,-15.320
-0.001,-1.006,-0.189,-1.282,0.732,-15.625
0.003,-1.024,-0.184,-1.160,1.282,-14.832
0.001,-1.025,-0.189,-1.343,2.502,-13.611
-0.002,-1.015,-0.203,-1.343,3.784,-12.085
-0.004,-1.000,-0.211,-0.305,4.883,-10.681
-0.010,-0.993,-0.217,1.587,5.249,-9.827
-0.011,-1.007,-0.219,3.784,5.188,-9.766
-0.019,-1.029,-0.224,4.028,4.700,-9.766
-0.018,-1.055,-0.228,2.075,3.967,-9.705
-0.015,-1.057,-0.225,-1.038,3.296,-8.484
-0.012,-1.039,-0.224,-2.258,2.869,-6.592
-0.009,-1.025,-0.226,-1.038,2.808,-4.944
-0.011,-1.014,-0.226,1.770,2.625,-3.418
-0.014,-1.011,-0.222,3.662,2.258,-2.380

-0.589,-2.714,-0.059,-61.584,-8.240,-97.900
-0.661,-3.214,-0.019,-102.356,-1.221,-113.281
-0.662,-3.652,-0.047,-143.005,11.230,-113.525
-0.609,-3.997,-0.088,-170.715,25.513,-93.933
-0.565,-4.000,-0.134,-177.063,36.194,-49.011
-0.537,-3.992,-0.194,-165.527,44.434,14.954
-0.509,-3.567,-0.232,-142.944,53.101,85.876
-0.482,-3.035,-0.261,-106.506,56.580,146.790
-0.465,-2.564,-0.280,-57.800,52.795,194.092
-0.481,-2.170,-0.229,-18.616,44.373,228.333
-0.494,-1.728,-0.152,-2.869,39.063,254.150
-0.488,-1.139,-0.181,-7.507,41.016,276.672
-0.556,-0.295,-0.301,-27.466,42.419,292.297
-0.509,0.659,-0.496,-62.073,44.373,291.626
-0.203,1.474,-0.663,-93.933,47.791,268.799
0.005,2.051,-0.702,-99.060,37.964,222.595
0.113,2.261,-0.556,-80.322,16.113,163.025
0.158,2.126,-0.453,-47.852,-4.272,111.755
0.146,1.911,-0.196,-22.644,-9.277,67.322
0.246,1.617,-0.050,-18.982,2.686,29.175
0.213,1.406,-0.071,-20.874,7.568,-2.319
0.218,1.149,-0.100,-21.484,12.268,-31.006
0.206,0.845,-0.141,-19.470,14.587,-57.434
0.169,0.520,-0.126,-10.620,11.719,-76.660
0.122,0.194,-0.073,1.404,7.996,-85.083
0.116,-0.082,-0.048,12.146,4.272,-85.144
0.062,-0.295,-0.032,17.639,0.183,-83.008
0.032,-0.458,-0.045,19.226,-2.136,-77.881
0.028,-0.590,-0.075,21.362,-2.808,-69.092
0.018,-0.714,-0.077,25.391,-4.517,-59.204
0.022,-0.843,-0.034,30.090,-6.958,-49.622
0.004,-0.938,0.019,31.067,-9.583,-42.603
-0.046,-0.962,0.072,26.978,-10.498,-38.208
0.025,-1.073,0.103,22.522,-7.996,-31.921
0.032,-1.117,0.088,18.799,-4.944,-29.724
0.004,-1.154,0.062,9.460,-4.089,-30.029
0.045,-1.177,0.055,4.395,-0.061,-26.184
0.077,-1.171,0.008,3.296,2.197,-19.775
0.111,-1.157,-0.061,4.639,0.366,-13.123
0.145,-1.178,-0.086,9.155,-0.427,-8.728
0.159,-1.206,-0.071,13.428,-1.831,-6.165
0.170,-1.215,-0.046,16.052,-4.822,-2.380
0.166,-1.199,-0.016,17.029,-7.507,1.770
0.166,-1.185,0.009,16.418,-8.484,4.272
0.173,-1.180,0.037,14.221,-8.179,4.883
0.171,-1.153,0.060,9.460,-6.897,4.150
0.177,-1.112,0.040,4.089,-5.798,3.662
0.186,-1.064,0.005,0.916,-3.967,3.052
0.188,-1.041,-0.033,-1.099,-0.732,1.282
0.233,-1.028,-0.047,-2.197,1.099,0.061
0.230,-1.018,-0.087,-2.991,0.793,-1.587
0.203,-1.000,-0.095,-4.272,-3.479,-5.310
0.186,-0.973,-0.066,-5.249,-5.310,-7.568
0.226,-1.002,-0.086,-2.625,-4.028,-7.385
0.181,-1.010,-0.075,-1.465,-5.676,-9.521
0.175,-1.014,-0.062,-3.296,-5.737,-9.705
0.178,-1.004,-0.055,-6.958,-4.639,-10.437
0.173,-0.980,-0.046,-10.071,-3.784,-12.390
0.163,-0.974,-0.047,-9.766,-4.211,-13.367
0.160,-0.974,-0.047,-6.409,-5.127,-13.123
0.153,-0.974,-0.041,-2.441,-6.531,-12.329
0.141,-0.971,-0.030,2.197,-7.935,-10.925
0.132,-0.967,-0.016,7.812,-9.216,-8.545
0.120,-0.968,0.009,12.695,-10.376,-6.592
0.097,-0.961,0.033,14.893,-10.925,-5.920
0.086,-0.948,0.043,13.611,-9.705,-5.981
0.082,-0.943,0.050,10.376,-8.240,-6.714
0.078,-0.946,0.047,7.385,-6.897,-8.301
0.087,-0.952,0.030,5.005,-5.554,-9.644
0.098,-0.960,0.015,4.944,-4.761,-9.644
0.101,-0.958,0.007,7.263,-5.615,-8.789
0.096,-0.956,0.026,11.841,-6.897,-7.080
0.089,-0.950,0.054,16.846,-8.240,-6.042
0.083,-0.960,0.073,21.301,-8.545,-5.737
0.060,-0.975,0.096,24.292,-8.667,-5.981
